Country/Region,Infected cases,Deaths,Recovered,Active Cases,Serious cases,Total cases/1M pop.,Deaths/1M pop,Total Tests Conducted,%Test Positive,Tests/1M pop.,Pop. Density (per km2),Avg. Wind  Speed (m/s),Avg. Annual Temp. (C.),Avg. Annual Precipitation (mm/yr.),%Pop. High Income,%Pop.  Upper-middle Income,%Pop. Middle Income,%Pop. Low Income,%Pop. Poor,%Pop. Age <=14,%Pop. Age 15-64,%Pop. Age >=65,Current Lockdown Status (Y/N)
Barbados,75,5,15,55,4,261,17,965,7.772020725,3358,668,4.15,26,1422,,,,,,19.1,66,15,N
Guyana,63,6,9,48,4,80,8,283,22.2614841,360,4,1.44,26,2387,,,,,,28.1,65.7,5.3 ,N
Cayman Islands,61,1,7,53,3,928,15,702,8.689458689,10681,274,3.62,,,,,,,,,,,N
Sint Maarten,57,9,12,36,6,1329,210,163,34.96932515,3802,1261,4.35,,,,,,,,,,,N
Cabo Verde,56,1,1,54,,101,2,,0,,138,4.48,,228,,,,,,,,,N
Uganda,56,,20,36,,1,,9975,0.561403509,218,229,2.11,22.8,1180,0,0.56980057,2.564102564,55.84045584,41.02564103,47.7,50.1,2.2 ,N
French Polynesia,55,,2,53,1,196,,1163,4.729148753,4140,77,4.71,,,,,,,,,,,N
Bahamas,54,9,9,36,1,137,23,,0,,39,3.82,24.85,,,,,,,20.5,70.6,9.0 ,N
Zambia,52,2,30,20,1,3,0.1,2191,2.373345504,119,25,2.46,21.4,1020,0,0.735294118,2.205882353,32.35294118,64.70588235,44.8,52.7,2.5 ,N
Libya,49,1,11,37,,7,0.1,699,7.010014306,102,4,4.56,21.8,56,,,,,,28.2,67.4,4.4 ,Y
Macao,45,,16,29,1,69,,,0,,21645,4.37,,,,,,,,13.4,76.9,9.8 ,N
Haiti,43,3,,40,,4,0.3,365,11.78082192,32,414,2.8,24.9,1440,,,,,,33,62.2,4.8 ,N
Guinea-Bissau,43,,,43,,22,,1500,2.866666667,762,70,2.36,26.75,1577,,,,,,40.7,55.5,3.0 ,N
Syria,38,2,5,31,,2,0.1,,0,,95,3.87,17.75,252,,,,,,36.6,59.1,4.3 ,N
Saint Martin,35,2,13,20,5,905,52,,0,,730,4.35,,,,,,,,,,,N
Benin,35,1,18,16,,3,0.08,,0,,108,2.52,27.55,1039,,,,,,42.7,54.1,3.2 ,N
Eritrea,35,,,35,,10,,,0,,35,3.53,25.5,384,,,,,,41.8,54.6,3.6 ,Y
Mozambique,34,,2,32,,1,,898,3.786191537,29,40,2.45,23.8,1032,0,0,0.81300813,32.11382114,66.66666667,44.8,52.1,3.2 ,N
