Country/Region,Infected cases,Deaths,Recovered,Active Cases,Serious cases,Total cases/1M pop.,Deaths/1M pop,Total Tests Conducted,%Test Positive,Tests/1M pop.,Pop. Density (per km2),Avg. Wind  Speed (m/s),Avg. Annual Temp. (C.),Avg. Annual Precipitation (mm/yr.),%Pop. High Income,%Pop.  Upper-middle Income,%Pop. Middle Income,%Pop. Low Income,%Pop. Poor,%Pop. Age <=14,%Pop. Age 15-64,%Pop. Age >=65,Current Lockdown Status (Y/N)
Slovenia,1304,66,174,1064,28,627,32,39330,3.315535215,18918,103,2.74,8.9,1162,9.523809524,71.42857143,14.28571429,4.761904762,0,15,66,19.1,N
Bosnia and Herzegovina,1214,46,320,848,4,370,14,15751,7.707447146,4801,64,2.75,9.85,1028,5.263157895,31.57894737,39.47368421,26.31578947,0,14.1,69.3,16.6,N
Armenia,1201,19,402,780,30,405,6,10793,11.12758269,3642,104,2.71,7.15,562,0,0,6.666666667,86.66666667,3.333333333,20,68.8,11.2,Y
Lithuania,1149,33,210,906,14,422,12,53101,2.163801058,19506,43,3.8,6.2,656,3.333333333,20,40,36.66666667,0,14.8,66.2,19,Y
North Macedonia,1117,49,139,929,15,536,24,10859,10.28639838,5212,83,2.53,9.8,619,,,,,,0.23,64.4,11.9,N
Oman,1069,6,176,887,3,209,1,,0,,16,4.03,25.6,125,,,,,,21.8,75.8,2.4 ,Y
Slovakia,1049,9,175,865,5,192,2,37732,2.780133574,6911,114,2.93,6.8,824,1.851851852,18.51851852,59.25925926,20.37037037,0,15.4,69.6,15.1,N
Hong Kong,1022,4,533,485,9,136,0.5,131786,0.775499674,17579,7140,3.74,22.6,,,,,,,11.5,72.2,16.3,N
Cameroon,1017,22,177,818,,38,0.8,,0,,56,1.56,24.6,1604,0,2.358490566,8.962264151,76.41509434,12.26415094,42.7,54.1,3.2 ,N
Cuba,923,31,192,700,17,81,3,23317,3.958485225,2059,106,3.1,25.2,1335,,,,,,16.1,69.2,14.7,Y
Afghanistan,906,30,99,777,,23,0.8,,0,,60,3.53,12.6,327,,,,,,43.2,54.2,2.6 ,N
Tunisia,864,37,43,784,89,73,3,14640,5.901639344,1239,76,4.25,19.2,207,0,5.607476636,27.10280374,64.48598131,1.869158879,24,68,8.0 ,Y
Bulgaria,846,41,141,664,37,122,6,18502,4.572478651,2663,64,2.73,10.55,608,0,10.95890411,47.94520548,41.09589041,0,14.2,65,20.8,N
Cyprus,750,12,77,661,8,621,10,29075,2.579535684,24081,131,2.66,18.45,498,,,,,,16.8,69.8,13.4,N
Djibouti,732,2,76,654,,741,2,7486,9.778252738,7577,43,4.51,28,220,,,,,,31.1,64.7,4.2 ,N
Diamond Princess,712,13,644,55,7,,,,,,,,,,,,,,,,,,
Andorra,696,35,191,470,17,9008,453,1673,41.60191273,21653,164,4.73,7.6,,,,,,,,,,N
Ivory Coast,688,6,193,489,,26,0.2,,0,,83,2.29,26.35,1348,0,1.546391753,6.18556701,68.55670103,23.71134021,42.4,54.6,2.9 ,N
Latvia,682,5,88,589,5,362,3,32837,2.076925419,17409,30,3.51,5.6,641,4.761904762,23.80952381,42.85714286,23.80952381,0,15.4,64.8,19.8,N
Lebanon,668,21,94,553,30,98,3,19185,3.481886891,2811,667,2.9,16.4,661,,,,,,23.1,68.4,8.5 ,Y
Costa Rica,649,4,88,557,10,127,0.8,9752,6.655045119,1914,100,1.94,24.8,2926,6.382978723,19.14893617,29.78723404,40.42553191,4.255319149,21.3,68.9,9.5 ,Y
Ghana,641,8,83,550,2,21,0.3,50719,1.26382618,1632,137,2.33,27.2,1187,0,0.806451613,3.225806452,59.27419355,36.69354839,38.5,58.1,3.4 ,Y
Niger,627,18,110,499,,26,0.7,4688,13.37457338,194,19,4.29,27.15,151,0,0,1.212121212,44.84848485,53.93939394,50.2,47.2,2.6 ,N
Burkina Faso,557,35,294,228,,27,2,,0,,76,3.18,28.25,748,0,0,1.25,41.25,57.5,45.2,52.4,2.4 ,N
Albania,539,26,283,230,5,187,9,5080,10.61023622,1765,105,3.03,11.4,1485,0,3.571428571,10.71428571,85.71428571,3.571428571,17.4,68.9,13.2,Y
Uruguay,508,9,294,205,12,146,3,11749,4.323772236,3382,20,4.17,17.55,1300,8.823529412,29.41176471,32.35294118,29.41176471,0,21.1,64.3,14.7,N
Nigeria,493,17,159,317,2,2,0.08,7153,6.892213057,35,226,2.72,26.8,1150,0,0.06090134,1.887941535,49.33008526,48.66017052,44,53.3,2.8 ,Y
Kyrgyzstan,489,5,114,370,5,75,0.8,26147,1.870195434,4008,34,3.22,1.55,533,0,1.818181818,7.272727273,83.63636364,7.272727273,31.8,63.7,4.5 ,N
Guinea,477,3,59,415,,36,0.2,,0,,53,1.94,25.7,1651,0,0,1.785714286,42.85714286,55.35714286,42.3,54.6,3.1 ,N
Channel Islands,470,20,73,377,,2703,115,3320,14.15662651,19095,915,,,,,,,,,,,,N
Bolivia,465,31,26,408,3,40,3,3569,13.02885962,306,11,2.51,21.55,1146,1.941747573,7.766990291,18.44660194,53.39805825,17.47572816,31.6,61.7,6.7 ,Y
Honduras,442,41,10,391,10,45,4,2012,21.96819085,203,89,2.16,23.5,1976,1.282051282,8.974358974,17.94871795,50,20.51282051,31.6,63.7,4.7 ,Y
San Marino,435,39,57,339,15,12820,1149,846,51.41843972,24933,566,2.96,11.85,,,,,,,,,,Y
Malta,422,3,91,328,4,956,7,22254,1.896288308,50401,1380,3.94,19.2,560,,,,,,14.4,66.1,19.4,N
Jordan,407,7,265,135,5,40,0.7,20500,1.985365854,2009,115,3.93,18.3,111,1.612903226,17.74193548,43.5483871,35.48387097,0,35.5,60.7,3.8 ,N
Palestine,402,2,69,331,,79,0.4,17329,2.319810722,3397,847,2.99,,402,,,,,,39.6,57.4,3.0 ,N
R?union,402,,237,165,4,449,,,0,,358,2.5,,,,,,,,,,,N
Taiwan,395,6,166,223,,17,0.3,51603,0.765459373,2167,673,3.62,22,,33.62068966,56.89655172,8.620689655,0.862068966,0,13.1,73,13.8,N
Georgia,370,3,79,288,6,93,0.8,5027,7.360254625,1260,57,2.76,5.8,1026,0,2.222222222,8.888888889,68.88888889,20,19.2,66,14.9,Y
